area;settore;plot;x;y;elevation;tri;tpi;rough;slope;flowdir;Abi_alb_;Pin_nig_;Ace_opa_;Ace_pse_;Pru_spi_;Fra_orn_;Ros_sp._;Jun_com_;Cor_mas_;Que_cer_;Que_pub_;Ace_cam_;Cra_mon_;Ost_car_;Ulm_cam_;Sor_auc_;Ile_aqu_;Sor_tor_;Pyr_pyr_;Aln_glu_;Aln_cor_;Sal_cap_;Pru_avi_;Mal_syl_;Pse_men_;Pin_syl_;Bra_rup_;Rub_can_;Car_fla_;Hed_hel_;Dac_glo_;Bug_pur_;Bro_ram_;Equ_sp._;Cle_vit_;Bri_med_;Vic_spa_Och;Lon_sp._;Dau_car_;Vio_rei_;Pot_rec_;Tri_pra_;Cli_vul_;Mel_uni_;Tus_far_;Dor_pen_;Hol_lan_;Dor_hir_;Teu_cha_;Lot_cor_;Ono_spi_;Orc_mac_;Sca_col_;Cru_gla_;Hyp_sp._;Lat_syl_;Gen_tin_;Gen_sp._;Gal_luc_;Con_sp._;Cor_sp._;Hip_com_;Tri_sp._;Phl_pra_;Tam_com_;Bla_per_;Ran_sp._;Cor_eme_;Aru_mac_;Leu_vul_;Spa_jun_;Hel_foe_;Poa_nem_;Sil_sp._;Mon_hyp_;San_min_;Pla_lan_;Ach_mil_;Fes_het_;Pri_ver_;Tri_cam_;Rap_rug_;Cre_sp._;Car_pen_;Dip_ful_;Aju_rep_;Ast_mon_;Sp1_Pic_suf;Gal_rot_;Cep_dam_;Med_fal_;Tar__;Tri_rep_;Inu_sp._;Jun_sp._;Tra_por_;Bis_sp._;Cer_lig_;Arc_lap_;Pic_hie_;Pte_aqu_;Rub_ida_;Cyt_sco_;Fag_syl_;Ced_deo_;Sal_glu_;Mur_zan_;Sed_sp._;Cre_leo_;Pla_bif_;Dig_mic_;Moe_tri_;Ver_off_;Luz_niv_;Fra_ves_;Ant_odo_;Epi_mon_;Orc_sp._;Sen_ova_;Ger_sp._;Teu_sco_;Ver_fil_;Eri_car_;Bun_bul_;Cam_sp._;Hel_ita_
1;1.1;1.1.1;714205.92;4756984.87;771.19;1.9;1.2;7.3;13.5;32;5;9;0;0;0;2;2;0;2;5;3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;5;9;2;3;2;0;2;0;0;0;2;1;0;2;0;1;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.1;1.1.2;714179.95;4756955.62;768.83;0.9;-0.2;2.6;6.0;64;0;9;2;0;2;3;3;2;3;5;3;2;0;0;2;0;0;0;0;3;0;3;0;0;0;0;5;9;3;3;2;2;3;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.1;1.1.3;714144.99;4756928.49;770.16;1.6;-1.1;4.9;10.1;64;0;9;2;0;0;5;2;2;2;7;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;3;3;0;0;5;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.2;1.2.1;714289.95;4757074.56;762.81;2.4;1.0;6.9;16.5;64;0;9;2;0;2;0;0;2;1;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;7;3;3;2;0;0;2;0;0;0;3;2;1;0;0;0;1;2;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.2;1.2.2;714326.86;4757054.10;760.23;0.9;-0.0;2.6;6.7;64;0;9;2;0;5;1;2;2;2;5;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;7;3;3;2;3;2;1;0;3;2;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.2;1.2.3;714279.42;4757099.86;756.31;2.0;0.5;6.2;14.5;32;0;9;3;0;2;0;1;0;1;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;8;2;2;2;2;2;0;0;2;0;2;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.3;1.3.1;714318.85;4757144.68;751.00;1.4;-0.3;5.0;9.8;32;0;9;5;0;2;2;2;0;2;5;5;3;1;0;0;0;0;0;0;0;0;0;3;0;0;0;8;2;5;3;1;2;0;0;2;0;3;1;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.3;1.3.2;714318.25;4757188.04;739.43;1.8;-0.5;6.2;12.6;32;0;9;5;0;1;2;1;1;3;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;2;3;1;0;0;0;0;0;1;0;0;2;0;1;1;0;0;0;0;0;1;0;0;2;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.3;1.3.3;714295.55;4757144.35;749.25;2.3;0.6;8.2;16.5;32;0;9;7;0;2;0;2;0;0;3;5;2;0;0;0;0;0;0;0;0;0;0;5;0;0;0;8;2;2;5;1;0;0;0;2;0;3;0;0;2;0;2;2;2;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.4;1.4.1;714407.97;4757225.67;737.88;1.3;0.4;4.3;9.6;64;0;9;2;0;3;1;2;3;2;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;2;2;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.4;1.4.2;714378.74;4757234.50;736.28;1.4;0.0;4.1;10.1;128;0;9;1;0;3;0;2;3;1;1;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;7;2;2;2;2;2;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.4;1.4.3;714395.47;4757287.86;727.43;1.6;0.1;5.6;11.8;128;0;8;3;0;2;2;0;0;2;0;0;1;1;1;0;1;0;0;0;0;0;0;0;3;0;0;8;3;0;2;3;5;0;0;3;0;0;2;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.5;1.5.1;714435.52;4757132.69;738.57;0.8;-0.1;2.5;6.1;1;0;9;0;0;3;5;3;3;2;7;0;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;7;5;0;3;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.5;1.5.2;714432.97;4757173.65;737.52;1.1;-0.2;3.3;8.4;1;0;9;3;0;0;2;2;2;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;2;7;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.5;1.5.3;714487.67;4757139.20;732.79;1.0;-0.4;2.8;7.2;64;0;9;1;3;2;1;3;2;2;5;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;5;2;5;3;2;2;0;0;2;0;2;0;2;2;1;0;2;0;0;0;0;2;0;2;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.6;1.6.1;714545.67;4757098.12;735.04;1.9;0.7;7.2;13.7;128;0;8;3;0;3;2;1;1;2;5;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;8;5;7;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.6;1.6.2;714555.21;4757125.51;729.17;1.6;-0.6;6.2;11.8;128;0;9;3;0;2;2;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;5;2;3;0;3;7;0;0;0;0;0;2;1;1;0;0;0;0;3;0;3;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.6;1.6.3;714545.22;4757162.92;727.14;2.2;1.4;7.9;14.3;128;0;9;1;0;2;2;2;2;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;7;3;5;3;2;3;5;5;0;0;0;2;1;0;1;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.7;1.7.1;714616.93;4756873.67;765.85;1.0;-0.1;3.8;7.8;128;0;7;0;0;3;0;2;3;2;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;7;2;3;2;3;2;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.7;1.7.2;714616.66;4756912.24;762.63;1.8;1.1;5.5;11.6;64;0;7;2;0;2;3;1;3;0;0;0;3;1;0;0;0;1;2;3;0;1;0;0;0;0;0;7;2;3;3;3;1;0;3;1;5;0;2;1;0;2;0.1;0;0;2;0;0;2;0;0;2;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.7;1.7.3;714592.17;4756914.49;765.63;2.2;1.4;6.8;13.7;64;0;7;2;0;2;3;2;2;0;0;0;3;1;0;0;0;0;1;0;0;3;0;0;0;0;0;8;2;3;2;3;0;0;0;1;0;0;0;0.1;0;0;2;0;0;2;3;0;2;1;0;2;0;1;0;1;0;0;0;1;2;0;0;1;1;0;2;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.8;1.8.1;714712.78;4757005.69;743.08;1.5;1.5;4.1;11.2;64;0;7;2;0;2;2;2;3;1;5;3;1;1;0;0;0;0;0;0;0;0;3;0;0;0;0;8;0;1;2;2;0;0;0;1;3;0;1;1;0;0;0;0;0;3;0;0;0;0;2;1;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.8;1.8.2;714677.92;4757007.27;741.44;1.8;-0.1;6.4;12.9;128;0;9;2;0;2;2;1;1;1;3;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;9;2;1;2;2;0;0;2;1;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.8;1.8.3;714655.37;4756969.49;749.97;1.2;0.1;4.2;8.6;128;0;9;3;0;2;3;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;2;2;2;0;0;2;1;0;0;0;1;0;0;2;1;0;2;0;1;0;1;2;0;1;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.9;1.9.1;714695.31;4756923.40;752.45;1.6;-0.6;4.6;11.4;64;0;8;2;0;3;3;2;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;9;5;3;2;3;2;0;2;0.1;2;0;1;1;0;1;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
